GEOID,NAME,variable,estimate,moe,label
01,Alabama,B01001_001,4712651,NA,Estimate!!Total
02,Alaska,B01001_001,691189,NA,Estimate!!Total
04,Arizona,B01001_001,6246816,NA,Estimate!!Total
05,Arkansas,B01001_001,2872684,NA,Estimate!!Total
06,California,B01001_001,36637290,NA,Estimate!!Total
08,Colorado,B01001_001,4887061,NA,Estimate!!Total
09,Connecticut,B01001_001,3545837,NA,Estimate!!Total
10,Delaware,B01001_001,881278,NA,Estimate!!Total
11,District of Columbia,B01001_001,584400,NA,Estimate!!Total
12,Florida,B01001_001,18511620,NA,Estimate!!Total
13,Georgia,B01001_001,9468815,NA,Estimate!!Total
15,Hawaii,B01001_001,1333591,NA,Estimate!!Total
16,Idaho,B01001_001,1526797,NA,Estimate!!Total
17,Illinois,B01001_001,12745359,NA,Estimate!!Total
18,Indiana,B01001_001,6417398,NA,Estimate!!Total
19,Iowa,B01001_001,3016267,NA,Estimate!!Total
20,Kansas,B01001_001,2809329,NA,Estimate!!Total
21,Kentucky,B01001_001,4285828,NA,Estimate!!Total
22,Louisiana,B01001_001,4429940,NA,Estimate!!Total
23,Maine,B01001_001,1327665,NA,Estimate!!Total
24,Maryland,B01001_001,5696423,NA,Estimate!!Total
25,Massachusetts,B01001_001,6477096,NA,Estimate!!Total
26,Michigan,B01001_001,9952687,NA,Estimate!!Total
27,Minnesota,B01001_001,5241914,NA,Estimate!!Total
28,Mississippi,B01001_001,2941991,NA,Estimate!!Total
29,Missouri,B01001_001,5922314,NA,Estimate!!Total
30,Montana,B01001_001,973739,NA,Estimate!!Total
31,Nebraska,B01001_001,1799125,NA,Estimate!!Total
32,Nevada,B01001_001,2633331,NA,Estimate!!Total
33,New Hampshire,B01001_001,1313939,NA,Estimate!!Total
34,New Jersey,B01001_001,8721577,NA,Estimate!!Total
35,New Mexico,B01001_001,2013122,NA,Estimate!!Total
36,New York,B01001_001,19229752,NA,Estimate!!Total
37,North Carolina,B01001_001,9271178,NA,Estimate!!Total
38,North Dakota,B01001_001,659858,NA,Estimate!!Total
39,Ohio,B01001_001,11512431,NA,Estimate!!Total
40,Oklahoma,B01001_001,3675339,NA,Estimate!!Total
41,Oregon,B01001_001,3761925,NA,Estimate!!Total
42,Pennsylvania,B01001_001,12612705,NA,Estimate!!Total
44,Rhode Island,B01001_001,1056389,NA,Estimate!!Total
45,South Carolina,B01001_001,4511428,NA,Estimate!!Total
46,South Dakota,B01001_001,799462,NA,Estimate!!Total
47,Tennessee,B01001_001,6234968,NA,Estimate!!Total
48,Texas,B01001_001,24311891,NA,Estimate!!Total
49,Utah,B01001_001,2657236,NA,Estimate!!Total
50,Vermont,B01001_001,624258,NA,Estimate!!Total
51,Virginia,B01001_001,7841754,NA,Estimate!!Total
53,Washington,B01001_001,6561297,NA,Estimate!!Total
54,West Virginia,B01001_001,1840802,NA,Estimate!!Total
55,Wisconsin,B01001_001,5637947,NA,Estimate!!Total
56,Wyoming,B01001_001,545579,NA,Estimate!!Total
72,Puerto Rico,B01001_001,3762322,NA,Estimate!!Total
