GEOID,NAME,variable,estimate,moe,label
01,Alabama,B01001_003,154287,569,Estimate!!Total!!Male!!Under 5 years
02,Alaska,B01001_003,26714,233,Estimate!!Total!!Male!!Under 5 years
04,Arizona,B01001_003,236518,411,Estimate!!Total!!Male!!Under 5 years
05,Arkansas,B01001_003,100110,620,Estimate!!Total!!Male!!Under 5 years
06,California,B01001_003,1300849,740,Estimate!!Total!!Male!!Under 5 years
08,Colorado,B01001_003,173902,544,Estimate!!Total!!Male!!Under 5 years
09,Connecticut,B01001_003,105318,199,Estimate!!Total!!Male!!Under 5 years
10,Delaware,B01001_003,28476,88,Estimate!!Total!!Male!!Under 5 years
11,District of Columbia,B01001_003,16463,74,Estimate!!Total!!Male!!Under 5 years
12,Florida,B01001_003,552027,785,Estimate!!Total!!Male!!Under 5 years
13,Georgia,B01001_003,351811,896,Estimate!!Total!!Male!!Under 5 years
15,Hawaii,B01001_003,44737,183,Estimate!!Total!!Male!!Under 5 years
16,Idaho,B01001_003,60968,335,Estimate!!Total!!Male!!Under 5 years
17,Illinois,B01001_003,431211,514,Estimate!!Total!!Male!!Under 5 years
18,Indiana,B01001_003,221612,535,Estimate!!Total!!Male!!Under 5 years
19,Iowa,B01001_003,101153,526,Estimate!!Total!!Male!!Under 5 years
20,Kansas,B01001_003,100765,502,Estimate!!Total!!Male!!Under 5 years
21,Kentucky,B01001_003,142230,628,Estimate!!Total!!Male!!Under 5 years
22,Louisiana,B01001_003,155698,546,Estimate!!Total!!Male!!Under 5 years
23,Maine,B01001_003,36243,207,Estimate!!Total!!Male!!Under 5 years
24,Maryland,B01001_003,186225,407,Estimate!!Total!!Male!!Under 5 years
25,Massachusetts,B01001_003,187996,216,Estimate!!Total!!Male!!Under 5 years
26,Michigan,B01001_003,314019,454,Estimate!!Total!!Male!!Under 5 years
27,Minnesota,B01001_003,179512,353,Estimate!!Total!!Male!!Under 5 years
28,Mississippi,B01001_003,106515,559,Estimate!!Total!!Male!!Under 5 years
29,Missouri,B01001_003,197907,547,Estimate!!Total!!Male!!Under 5 years
30,Montana,B01001_003,30531,328,Estimate!!Total!!Male!!Under 5 years
31,Nebraska,B01001_003,65834,316,Estimate!!Total!!Male!!Under 5 years
32,Nevada,B01001_003,96732,365,Estimate!!Total!!Male!!Under 5 years
33,New Hampshire,B01001_003,36772,236,Estimate!!Total!!Male!!Under 5 years
34,New Jersey,B01001_003,279434,203,Estimate!!Total!!Male!!Under 5 years
35,New Mexico,B01001_003,72947,360,Estimate!!Total!!Male!!Under 5 years
36,New York,B01001_003,592250,577,Estimate!!Total!!Male!!Under 5 years
37,North Carolina,B01001_003,318634,715,Estimate!!Total!!Male!!Under 5 years
38,North Dakota,B01001_003,21319,275,Estimate!!Total!!Male!!Under 5 years
39,Ohio,B01001_003,369367,632,Estimate!!Total!!Male!!Under 5 years
40,Oklahoma,B01001_003,130917,528,Estimate!!Total!!Male!!Under 5 years
41,Oregon,B01001_003,119993,434,Estimate!!Total!!Male!!Under 5 years
42,Pennsylvania,B01001_003,371755,416,Estimate!!Total!!Male!!Under 5 years
44,Rhode Island,B01001_003,30148,265,Estimate!!Total!!Male!!Under 5 years
45,South Carolina,B01001_003,150860,457,Estimate!!Total!!Male!!Under 5 years
46,South Dakota,B01001_003,29099,309,Estimate!!Total!!Male!!Under 5 years
47,Tennessee,B01001_003,205473,600,Estimate!!Total!!Male!!Under 5 years
48,Texas,B01001_003,972112,1019,Estimate!!Total!!Male!!Under 5 years
49,Utah,B01001_003,130971,244,Estimate!!Total!!Male!!Under 5 years
50,Vermont,B01001_003,16698,210,Estimate!!Total!!Male!!Under 5 years
51,Virginia,B01001_003,258706,963,Estimate!!Total!!Male!!Under 5 years
53,Washington,B01001_003,218403,364,Estimate!!Total!!Male!!Under 5 years
54,West Virginia,B01001_003,53226,431,Estimate!!Total!!Male!!Under 5 years
55,Wisconsin,B01001_003,181588,436,Estimate!!Total!!Male!!Under 5 years
56,Wyoming,B01001_003,19115,242,Estimate!!Total!!Male!!Under 5 years
72,Puerto Rico,B01001_003,120911,NA,Estimate!!Total!!Male!!Under 5 years
