GEOID,NAME,variable,estimate,moe
01,Alabama,B01001_003,154287,569
02,Alaska,B01001_003,26714,233
04,Arizona,B01001_003,236518,411
05,Arkansas,B01001_003,100110,620
06,California,B01001_003,1300849,740
08,Colorado,B01001_003,173902,544
09,Connecticut,B01001_003,105318,199
10,Delaware,B01001_003,28476,88
11,District of Columbia,B01001_003,16463,74
12,Florida,B01001_003,552027,785
13,Georgia,B01001_003,351811,896
15,Hawaii,B01001_003,44737,183
16,Idaho,B01001_003,60968,335
17,Illinois,B01001_003,431211,514
18,Indiana,B01001_003,221612,535
19,Iowa,B01001_003,101153,526
20,Kansas,B01001_003,100765,502
21,Kentucky,B01001_003,142230,628
22,Louisiana,B01001_003,155698,546
23,Maine,B01001_003,36243,207
24,Maryland,B01001_003,186225,407
25,Massachusetts,B01001_003,187996,216
26,Michigan,B01001_003,314019,454
27,Minnesota,B01001_003,179512,353
28,Mississippi,B01001_003,106515,559
29,Missouri,B01001_003,197907,547
30,Montana,B01001_003,30531,328
31,Nebraska,B01001_003,65834,316
32,Nevada,B01001_003,96732,365
33,New Hampshire,B01001_003,36772,236
34,New Jersey,B01001_003,279434,203
35,New Mexico,B01001_003,72947,360
36,New York,B01001_003,592250,577
37,North Carolina,B01001_003,318634,715
38,North Dakota,B01001_003,21319,275
39,Ohio,B01001_003,369367,632
40,Oklahoma,B01001_003,130917,528
41,Oregon,B01001_003,119993,434
42,Pennsylvania,B01001_003,371755,416
44,Rhode Island,B01001_003,30148,265
45,South Carolina,B01001_003,150860,457
46,South Dakota,B01001_003,29099,309
47,Tennessee,B01001_003,205473,600
48,Texas,B01001_003,972112,1019
49,Utah,B01001_003,130971,244
50,Vermont,B01001_003,16698,210
51,Virginia,B01001_003,258706,963
53,Washington,B01001_003,218403,364
54,West Virginia,B01001_003,53226,431
55,Wisconsin,B01001_003,181588,436
56,Wyoming,B01001_003,19115,242
72,Puerto Rico,B01001_003,120911,NA
