state,state_fips,variable,sex,age_group,num_chronic,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,01,Per Capita Spending-Actual ($),males, Less than 65 Years,0 to 1,1593.9423,1639.9548,1680.0002,1599.0632,1611.6179,1695.0193,1729.1753,1791.3835,1868.3037,1735.7188,1835.0004
Alabama,01,Per Capita Spending-Actual ($),males, Less than 65 Years,2 to 3,6269.3549,6484.4033,6338.6235,6284.6203,6084.2715,6128.3645,5919.0137,6301.1517,6336.1253,6470.795,6126.4439
Alabama,01,Per Capita Spending-Actual ($),males, Less than 65 Years,4 to 5,12901.7265,13400.0509,13713.1173,13351.388,12553.6822,12818.4681,12513.1996,12466.4416,12095.8047,11441.018,12181.1097
Alabama,01,Per Capita Spending-Actual ($),males, Less than 65 Years,6+,31168.6543,32836.6889,33189.9134,33587.4895,33073.2436,32176.7153,32833.1685,32290.1432,31581.3385,31392.0268,31770.9529
Alabama,01,Per Capita Spending-Standardized ($),males, Less than 65 Years,0 to 1,1745.4352,1793.9358,1828.68,1725.5994,1709.8229,1837.06,1891.0444,1914.9913,2029.6522,1909.2177,2003.7819
Alabama,01,Per Capita Spending-Standardized ($),males, Less than 65 Years,2 to 3,6751.6256,7034.8808,6815.6255,6724.6247,6465.8461,6585.5963,6535.814,6771.3891,6922.0492,7063.9037,6740.0303
Alabama,01,Per Capita Spending-Standardized ($),males, Less than 65 Years,4 to 5,13796.1782,14384.822,14596.4846,14161.8796,13346.5407,13766.7529,13701.2543,13433.1695,13235.1115,12620.6503,13372.3745
Alabama,01,Per Capita Spending-Standardized ($),males, Less than 65 Years,6+,32779.2962,34641.3025,34879.1763,35101.501,34688.2979,34039.9958,35559.7975,34623.3841,34440.7706,34245.581,34631.4468
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,0 to 1,397.5643,409.9717,411.0661,387.6814,392.4068,394.1506,394.9455,400.4581,395.724,401.2831,378.5799
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,2 to 3,864.7115,864.9806,852.3912,855.7607,838.507,864.5833,811.2573,822.5952,842.0267,808.0593,823.4392
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,4 to 5,1407.4985,1444.2636,1407.0455,1383.2881,1336.7091,1376.5229,1377.5047,1341.7089,1302.8228,1282.4948,1273.9993
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, Less than 65 Years,6+,3279.314,3188.8812,3290.0839,3283.0071,3296.0886,3224.918,3218.5751,3186.9717,3015.6602,2967.0235,3074.3561
Alabama,01,Hospital Readmissions-Percentage (%),males, Less than 65 Years,0 to 1,9.93,10.58,8.98,8.29,8.97,8.21,8.03,9.56,9.71,9.38,8.33
Alabama,01,Hospital Readmissions-Percentage (%),males, Less than 65 Years,2 to 3,12.23,12.31,12.46,12.18,11.53,10.45,9.62,11.53,10.27,10.69,12.19
Alabama,01,Hospital Readmissions-Percentage (%),males, Less than 65 Years,4 to 5,17.33,17.28,17.42,16.35,15.47,15.38,14.82,15.23,14.95,14.9,16.41
Alabama,01,Hospital Readmissions-Percentage (%),males, Less than 65 Years,6+,29.8,30.46,28.98,29.34,28.88,27.96,27.45,27.2,27.66,28.39,28.73
Alabama,01,Per Capita Spending-Actual ($),males, 65 Years and Over,0 to 1,1606.5861,1640.8175,1614.7161,1656.6756,1574.4888,1608.9717,1560.3749,1537.8239,1642.757,1591.6583,1601.1547
Alabama,01,Per Capita Spending-Actual ($),males, 65 Years and Over,2 to 3,4780.879,4771.4158,4793.3852,4844.1386,4710.2915,4639.9329,4499.4483,4542.7303,4547.3876,4605.6387,4791.1279
Alabama,01,Per Capita Spending-Actual ($),males, 65 Years and Over,4 to 5,10610.729,10696.1217,10620.8209,10682.2651,9938.6993,9734.031,9458.5052,9234.4393,9135.9544,8961.5437,9349.3925
Alabama,01,Per Capita Spending-Actual ($),males, 65 Years and Over,6+,26299.8305,27394.9503,28092.6384,28001.2698,27771.6942,27456.4508,26706.2237,26544.198,25651.7447,25241.4163,25584.8421
Alabama,01,Per Capita Spending-Standardized ($),males, 65 Years and Over,0 to 1,1759.4567,1797.5673,1761.5241,1775.7206,1686.7313,1756.5081,1729.3172,1667.8717,1803.8981,1750.5878,1773.1424
Alabama,01,Per Capita Spending-Standardized ($),males, 65 Years and Over,2 to 3,5161.8505,5160.9863,5165.8572,5156.053,5015.6472,4992.7727,4935.4216,4893.1384,4972.6327,5041.6408,5262.7511
Alabama,01,Per Capita Spending-Standardized ($),males, 65 Years and Over,4 to 5,11344.9868,11460.7426,11355.1691,11316.0681,10507.0083,10397.9752,10303.7425,9958.9113,9972.5105,9770.0213,10261.4856
Alabama,01,Per Capita Spending-Standardized ($),males, 65 Years and Over,6+,27973.7693,29129.8266,29873.3173,29657.6641,29338.8016,29269.97,29020.7472,28664.1816,28077.4604,27543.4621,28015.6722
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,0 to 1,131.659,125.0212,124.0943,124.8528,120.1543,121.4882,119.6875,117.5943,126.0368,121.0277,125.956
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,2 to 3,305.4576,303.2526,288.5769,291.6898,281.6778,292.8128,277.1813,276.505,272.7533,281.6028,296.117
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,4 to 5,649.2871,635.0559,614.9647,609.987,579.1578,586.0751,556.4397,549.4258,545.9781,518.3121,555.0108
Alabama,01,"ED Visits per 1,000 Beneficiaries",males, 65 Years and Over,6+,1647.7668,1675.6737,1632.8497,1633.8118,1641.1982,1643.1237,1587.3033,1593.649,1560.5073,1487.1892,1543.0234
Alabama,01,Hospital Readmissions-Percentage (%),males, 65 Years and Over,0 to 1,5.8,7.7,5.61,6.27,5.39,4.75,5.68,4.21,4.14,4.32,4.31
Alabama,01,Hospital Readmissions-Percentage (%),males, 65 Years and Over,2 to 3,9.28,8.84,9.39,7.42,7.8,7.42,7.17,7.18,6.58,6.4,5.94
Alabama,01,Hospital Readmissions-Percentage (%),males, 65 Years and Over,4 to 5,13.64,13.25,13,12.75,11.76,11.26,10.34,9.96,10,9.5,10.15
Alabama,01,Hospital Readmissions-Percentage (%),males, 65 Years and Over,6+,25.08,25.26,24.55,23.8,23.83,22.67,21.92,22.31,21.71,21.47,21.6
