Grp,Group,ID,Day,Size
1.CTR,1,101,0,41.8
1.CTR,1,101,3,85
1.CTR,1,101,4,114
1.CTR,1,101,5,162.3
1.CTR,1,101,6,178.3
1.CTR,1,101,7,325
1.CTR,1,101,10,623.7
1.CTR,1,101,11,648.4
1.CTR,1,101,12,835.9
1.CTR,1,101,13,1030.4
1.CTR,1,101,14,1141.8
1.CTR,1,101,17,1499.9
1.CTR,1,101,18,1429.3
1.CTR,1,101,19,1609.3
1.CTR,1,101,20,1678.3
1.CTR,1,101,21,1564
1.CTR,1,102,0,79.4
1.CTR,1,102,1,110.3
1.CTR,1,102,4,201.3
1.CTR,1,102,5,255.3
1.CTR,1,102,6,349.1
1.CTR,1,102,7,357.5
1.CTR,1,102,8,670
1.CTR,1,102,11,624.3
1.CTR,1,102,12,640.6
1.CTR,1,102,13,618.8
1.CTR,1,102,14,584.9
1.CTR,1,102,15,809.7
1.CTR,1,102,18,1249.7
1.CTR,1,102,19,1262.2
1.CTR,1,102,20,1336.8
1.CTR,1,102,21,1563.7
1.CTR,1,103,0,44.8
1.CTR,1,103,1,67.5
1.CTR,1,103,2,55.8
1.CTR,1,103,3,82.8
1.CTR,1,103,4,106.8
1.CTR,1,103,7,309.5
1.CTR,1,103,8,355.9
1.CTR,1,103,9,554.8
1.CTR,1,103,10,740.4
1.CTR,1,103,11,1012.1
1.CTR,1,103,14,1948.2
1.CTR,1,103,15,2405.7
1.CTR,1,104,0,67.7
1.CTR,1,104,1,92.4
1.CTR,1,104,2,77.7
1.CTR,1,104,3,107.4
1.CTR,1,104,4,147.1
1.CTR,1,104,7,226.1
1.CTR,1,104,8,285.3
1.CTR,1,104,9,541.5
1.CTR,1,104,10,551.9
1.CTR,1,104,11,609.8
1.CTR,1,104,14,1230.5
1.CTR,1,104,15,1839.6
1.CTR,1,104,16,1964.2
1.CTR,1,105,0,54.7
1.CTR,1,105,3,61.1
1.CTR,1,105,4,75.3
1.CTR,1,105,5,112.5
1.CTR,1,105,6,117.8
1.CTR,1,105,7,164.9
1.CTR,1,105,10,816.2
1.CTR,1,105,11,846.4
1.CTR,1,105,12,1403.6
1.CTR,1,105,13,1699.3
1.CTR,1,105,14,2162.8
1.CTR,1,106,0,60
1.CTR,1,106,1,74.2
1.CTR,1,106,2,98.9
1.CTR,1,106,3,103.3
1.CTR,1,106,4,106.4
1.CTR,1,106,7,166.3
1.CTR,1,106,8,269.2
1.CTR,1,106,9,478.4
1.CTR,1,106,10,356.4
1.CTR,1,106,11,498.8
1.CTR,1,106,14,915.8
1.CTR,1,106,15,1086.6
1.CTR,1,106,16,2125.1
1.CTR,1,107,0,46.8
1.CTR,1,107,4,162.6
1.CTR,1,107,5,264.5
1.CTR,1,107,6,253.1
1.CTR,1,107,7,419.3
1.CTR,1,107,11,1273.5
1.CTR,1,107,12,1712
1.CTR,1,107,13,2342.6
1.CTR,1,108,0,49.4
1.CTR,1,108,4,123.2
1.CTR,1,108,5,286.5
1.CTR,1,108,6,484.9
1.CTR,1,108,7,584.5
1.CTR,1,108,11,1581.9
1.CTR,1,108,12,1930.6
1.CTR,1,108,13,2295.9
2.D,2,201,0,49.1
2.D,2,201,3,65.6
2.D,2,201,4,88.9
2.D,2,201,5,135.4
2.D,2,201,6,171.9
2.D,2,201,7,177.3
2.D,2,201,10,388
2.D,2,201,11,466.7
2.D,2,201,12,557
2.D,2,201,13,455.5
2.D,2,201,14,624.1
2.D,2,201,18,995.2
2.D,2,201,19,1157.6
2.D,2,201,20,1069.7
2.D,2,201,21,1194.4
2.D,2,201,24,1725.8
2.D,2,201,25,1524.9
2.D,2,201,26,1737.7
2.D,2,201,27,1998.3
2.D,2,202,0,60.6
2.D,2,202,1,75.7
2.D,2,202,2,75.8
2.D,2,202,4,158.7
2.D,2,202,7,306.2
2.D,2,202,8,397.4
2.D,2,202,9,398.2
2.D,2,202,10,639.3
2.D,2,202,11,556.4
2.D,2,202,14,815.9
2.D,2,202,15,907.9
2.D,2,202,16,1104.2
2.D,2,202,17,1275
2.D,2,202,18,1290.9
2.D,2,202,22,2046.7
2.D,2,203,0,41.5
2.D,2,203,1,41.8
2.D,2,203,2,43.2
2.D,2,203,3,46
2.D,2,203,4,48.7
2.D,2,203,7,66.5
2.D,2,203,8,82.2
2.D,2,203,9,94.1
2.D,2,203,10,162.7
2.D,2,203,11,169.9
2.D,2,203,14,398.7
2.D,2,203,15,416
2.D,2,203,16,526.7
2.D,2,203,17,716.3
2.D,2,203,18,734.9
2.D,2,203,22,1938.5
2.D,2,204,0,46.8
2.D,2,204,1,46.4
2.D,2,204,2,48.8
2.D,2,204,3,56.7
2.D,2,204,4,113.9
2.D,2,204,7,231.8
2.D,2,204,8,318.3
2.D,2,204,9,413.1
2.D,2,204,10,747.4
2.D,2,204,11,700.4
2.D,2,204,14,1374.8
2.D,2,204,15,1374.1
2.D,2,204,16,1668.4
2.D,2,204,17,1598.4
2.D,2,204,18,1725.1
2.D,2,205,0,39.5
2.D,2,205,3,71.2
2.D,2,205,4,62.4
2.D,2,205,5,84.8
2.D,2,205,6,88.6
2.D,2,205,7,138
2.D,2,205,10,270.3
2.D,2,205,11,310.7
2.D,2,205,12,385.5
2.D,2,205,13,552.5
2.D,2,205,14,468.9
2.D,2,205,17,766.6
2.D,2,205,18,896
2.D,2,205,19,1279
2.D,2,205,20,1582.3
2.D,2,205,21,1701.4
2.D,2,206,0,53.5
2.D,2,206,1,41.2
2.D,2,206,2,52.2
2.D,2,206,3,61.6
2.D,2,206,4,77.1
2.D,2,206,7,102.8
2.D,2,206,8,85.9
2.D,2,206,9,70.3
2.D,2,206,10,105.2
2.D,2,206,11,129.9
2.D,2,206,14,291.3
2.D,2,206,15,315.4
2.D,2,206,16,322.5
2.D,2,206,18,768.1
2.D,2,206,22,1108.6
2.D,2,206,23,1321
2.D,2,206,24,1624.3
2.D,2,206,25,1853.5
2.D,2,207,0,43.5
2.D,2,207,1,50.2
2.D,2,207,2,56.5
