Group,Grp,ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1,1.CTR,101,41.8,NA,NA,85,114,162.3,178.3,325,NA,NA,623.7,648.4,835.9,1030.4,1141.8,NA,NA,1499.9,1429.3,1609.3,1678.3,1564,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,102,79.4,110.3,NA,NA,201.3,255.3,349.1,357.5,670,NA,NA,624.3,640.6,618.8,584.9,809.7,NA,NA,1249.7,1262.2,1336.8,1563.7,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,103,44.8,67.5,55.8,82.8,106.8,NA,NA,309.5,355.9,554.8,740.4,1012.1,NA,NA,1948.2,2405.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,104,67.7,92.4,77.7,107.4,147.1,NA,NA,226.1,285.3,541.5,551.9,609.8,NA,NA,1230.5,1839.6,1964.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,105,54.7,NA,NA,61.1,75.3,112.5,117.8,164.9,NA,NA,816.2,846.4,1403.6,1699.3,2162.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,106,60,74.2,98.9,103.3,106.4,NA,NA,166.3,269.2,478.4,356.4,498.8,NA,NA,915.8,1086.6,2125.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,107,46.8,NA,NA,NA,162.6,264.5,253.1,419.3,NA,NA,NA,1273.5,1712,2342.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1.CTR,108,49.4,NA,NA,NA,123.2,286.5,484.9,584.5,NA,NA,NA,1581.9,1930.6,2295.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2.D,201,49.1,NA,NA,65.6,88.9,135.4,171.9,177.3,NA,NA,388,466.7,557,455.5,624.1,NA,NA,NA,995.2,1157.6,1069.7,1194.4,NA,NA,1725.8,1524.9,1737.7,1998.3,NA
2,2.D,202,60.6,75.7,75.8,NA,158.7,NA,NA,306.2,397.4,398.2,639.3,556.4,NA,NA,815.9,907.9,1104.2,1275,1290.9,NA,NA,NA,2046.7,NA,NA,NA,NA,NA,NA
2,2.D,203,41.5,41.8,43.2,46,48.7,NA,NA,66.5,82.2,94.1,162.7,169.9,NA,NA,398.7,416,526.7,716.3,734.9,NA,NA,NA,1938.5,NA,NA,NA,NA,NA,NA
2,2.D,204,46.8,46.4,48.8,56.7,113.9,NA,NA,231.8,318.3,413.1,747.4,700.4,NA,NA,1374.8,1374.1,1668.4,1598.4,1725.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
